Lead 1,Lead 2,Lead 3,Lead 4,Lead 5,Lead 6,Lead 7,Lead 8,Lead 9,Lead 10,Lead 11,Lead 12,Lead 13,Lead 14,Lead 15,Lead 16,Lead 17,Lead 18,Lead 19,Lead 20,Lead 21,Lead 22,Lead 23,Lead 24,Lead 25,Lead 26,Lead 27,Lead 28,Lead 29,Lead 30,Lead 31,Lead 32,Lead 33,Lead 34,Lead 35,Lead 36,Lead 37,Lead 38,Lead 39,Lead 40,Lead 41,Lead 42,Lead 43,Lead 44,Lead 45,Lead 46,Lead 47,Lead 48,Lead 49,Lead 50,Lead 51,Lead 52,Lead 53,Lead 54,Lead 55,Lead 56,Lead 57,Lead 58,Lead 59,Lead 60,Lead 61,Lead 62,Lead 63,Lead 64,Lead 65,Lead 66,Lead 67,Lead 68
-9944.996094,-169287.25,-169016.25,392064.75,482275.25,101455.75,-281079.75,75643.75,411267.25,72447.25,233995.75,147920.75,359112,-193752.25,71910,29121.75,184811.75,158682.25,241748.75,129218.75,160655.5,42510,45280.75,-316905.25,134986.25,350074.75,321236.75,84054.5,99316,91160.25,207591.75,258174.25,-10542.49609,335865.25,-50991.74609,-169263.25,-56089.49609,186054,111852.5,53189.5,11255.5,160409.75,-43020.24609,31734.25,-71141.75,344792.5,171409.75,88481.25,131838.75,148203.75,94838,-124756.25,-155736.25,71587.75,950958.5,215783.25,6041,121335.75,164177,-2110.746094,-207609.25,38870.5,167195.75,-125898.5,-715377.75,-719156,-331557.75,-272660
-10067.49609,-169323,-168897.75,391970.5,482206.75,101362,-281230.5,75639.75,411090.75,72429.25,233915,147919.75,359105.25,-193731.5,71804.25,28985.5,184834.25,158691.25,241727.5,129263,160643,42569.75,45334,-316860.5,135018.25,350187,321392.25,84116.25,99367.5,91224.75,207596,258145.5,-10553.24609,335908.5,-50953.24609,-169082.25,-56206.49609,186001.75,111808.75,53115.25,11091.75,160344.75,-43168.24609,31684,-71166.5,344764.5,171382,88422.75,131816.25,148121.5,94794.5,-124623.5,-155757,71553.5,950782.75,215752.5,6072.5,121318.75,164150.25,-2063.996094,-208031.5,38813.5,166982.75,-125999,-715426,-718839.25,-330982.5,-272444.75
-10447.49609,-169623.75,-169286.25,391867,482174.75,101206.25,-281282.25,75785,410556,72248.75,233793.75,147778.5,358971.5,-193824.5,71335.75,28914.5,184730.5,158658,241676.5,129296,160615.25,42499.75,45325.5,-316974.5,134986,350232.5,321497.75,84229.75,99490,91284.25,207635.75,258123.5,-10794.74609,335815,-51035.74609,-169014.5,-56375.49609,185842.25,111644.5,53044.25,10965.5,160249.75,-43161.99609,31453,-71363.25,344618.5,171203.75,88280.75,131721,148012.75,94598.75,-124636.75,-155813.5,71451.25,950659.75,215673.5,6031.75,121307.5,164149.25,-2084.246094,-208695.75,38934,166602.5,-125829.5,-715646,-719159.25,-331560.5,-272572.5
-10768.74609,-169686.5,-169309.5,391796.5,482090.25,101208.5,-281279.75,75734.25,410719.25,72177.5,233713.5,147674.5,358863.75,-193841,70725.75,28799.5,184567,158551.25,241596.75,129245.75,160557,42438,45211.5,-317203.75,134937,350300.75,321531,84250,99521.75,91220,207603.75,258053.25,-11102.49609,335560,-51105.74609,-169015,-56393.99609,185717.25,111579.25,52849.5,10786.25,160212,-43164.99609,31193,-71522.25,344534.25,171119.5,88167.25,131638.75,147890.75,94412.5,-124539.25,-155867.5,71361,950492,215551.75,6013.75,121278.25,164092.25,-2068.746094,-209562.75,38967,166089.75,-125668.5,-715878,-719477.25,-332298.25,-273325.75
-10849.74609,-169692.5,-169444,391695,482099,101083.25,-281520.75,75175.75,410854.75,72163.5,233656.25,147604,358766.5,-194013.5,71040.25,28638,184471.25,158452.75,241483.75,129232,160492.25,42375.25,45111.5,-317234.25,134850.5,350283,321581.25,84189.75,99421,91209.75,207588,257939,-11221.74609,335269.75,-51172.99609,-169173.75,-56503.99609,185634.25,111464,52801.25,10664.25,160080.5,-43164.99609,31079.25,-71518,344447,170998.75,88075.75,131566.25,147860.5,94303.75,-124277.5,-155909.5,71260.75,950264.5,215561.25,5947.25,121239.5,164097.75,-2112.996094,-209578.5,38953.25,165876.25,-125634.5,-716025,-719499.25,-332268.75,-273081.25
-11089.24609,-169689.25,-169433,391675.25,482058.75,101104.75,-281460.5,75226.25,410771,72175.25,233636.75,147606.75,358792.5,-194026.25,71543.75,28615.5,184566.5,158516,241541.25,129318.25,160558.75,42392.25,45162.25,-317164.25,134930,350458.25,321708.5,84290.75,99535.25,91290.25,207604.5,258006.5,-11224.49609,335097.25,-51151.74609,-169442.25,-56587.24609,185612.5,111437.25,52862.75,10596.75,159912.25,-43172.24609,31044.75,-71494,344457.5,171028.25,88060.5,131565.75,147849,94235,-124274.25,-155972.75,71318.25,950159.25,215589.25,6021.75,121261.25,164116.75,-2091.496094,-208808.75,38982.5,166131,-125583,-716370,-719686,-331581.75,-273057
-11332.99609,-170043.25,-169696.5,391563.5,481998.25,101024,-281560.75,75276.5,410650.25,72074,233466.25,147451.75,358727,-194132.5,71364.75,28404.5,184423.25,158433,241427.5,129257.5,160453.75,42288.5,45014.5,-317386,134789,350440,321665,84271.75,99510.25,91262,207541,257879.75,-11366.74609,335077.75,-51339.99609,-169657.5,-56754.24609,185503.75,111272.5,52700.75,10322.5,159596.25,-43439.24609,30970.25,-71644.75,344296.75,170835.75,87911.5,131392.5,147744,94161.75,-124426.25,-156056.75,71183.5,950212.75,215463.5,5936.5,121193.5,164010.5,-2224.246094,-208713.25,38945.25,166428.5,-125537,-716398,-719744.25,-332216.75,-273697.25
-10997.49609,-170269.25,-169692.25,391651.5,482104.25,101109.75,-281479.75,75349.25,410826.5,72165,233566.5,147536,358763.5,-194024.75,71264.75,28384.75,184439,158478.25,241434.25,129283,160432.5,42201,44938,-317612.75,134634,350342.75,321579.5,84174.25,99431.75,91266.5,207643.25,257936.25,-11278.49609,335170.75,-51427.74609,-169684.25,-56700.24609,185550.5,111367.5,52848,10210.25,159712.75,-43335.74609,30990.75,-71595.25,344373,170878,87944.75,131453.75,147844,94230.5,-124421.25,-155981.75,71291,950362,215490.5,6042,121240,164098.75,-2193.246094,-208286,39006.25,167028,-125480,-715769,-719202,-333136.5,-274148.5
-11239.99609,-170434.75,-169661.5,391625.25,482109.75,101107.25,-281587.25,75486.75,410919.75,72279.75,233602.5,147550.75,358783.75,-193949.5,71182.25,28220.75,184448.25,158530.5,241410,129280,160450.5,42130.5,44914.5,-317575,134583,350274.5,321562.25,84217.75,99427.25,91301,207628.25,257952,-11499.49609,335123,-51442.74609,-169597.75,-56712.24609,185597.25,111383.25,52905.5,10141.75,159712.5,-43341.99609,31077,-71503,344386,170937.25,87993.75,131550.25,147893.75,94231.5,-124509.25,-155985.25,71257,950478.5,215506.5,6023.25,121218,164002,-2257.746094,-208298.75,38979.5,167370.75,-125466.5,-715578.25,-719007.5,-333374.75,-274569.75
-11270.99609,-170294,-169453,391778.25,482291.25,101274,-281501.75,75709.75,411053,72366,233718.5,147641,358909.5,-193829.75,71321.25,28105.75,184416.75,158508.25,241526.75,129203.25,160417,42084,44807.75,-317579.75,134458.25,350044.25,321294.25,84082.5,99329.5,91229.75,207589.5,258029.5,-11444.74609,335263,-51538.99609,-169544.75,-56595.24609,185708.25,111469,52925.75,10077,159734.5,-43275.24609,31030.25,-71447.75,344480.75,171040.75,88178.25,131617.25,147971.75,94301.25,-124421,-155932.5,71342.75,950555.5,215547,6129.25,121240,164037,-2212.996094,-207922,38976.5,167228.25,-125756.5,-715484.5,-718905.75,-333315.75,-274540.5
-11346.49609,-170118,-169613.25,391830.75,482230.75,101278,-281562.25,75702.75,410732.5,72323.75,233770,147670.75,358867.75,-193907,71115.5,28034,184353.75,158480,241483.5,129231.5,160348.75,41960.5,44716.5,-317723,134304,349895.25,321150.75,84105,99370.25,91201.75,207601.25,257991.75,-11631.74609,335050.25,-51686.99609,-169482.5,-56429.49609,185762.5,111466,52876.25,9876.75,159653,-43333.99609,30962.5,-71484,344453.25,171048.75,88183.25,131628.5,147940.5,94314.75,-124387.5,-155975.5,71314.25,950546,215562.75,6164.25,121242.75,164074.25,-2249.246094,-209161,38916,166960,-125761.5,-715724.25,-719085.5,-334268.25,-274947
-11305.99609,-169974.25,-169677.25,391833.5,482257.75,101209.75,-281643,75441.25,410638.5,72291.25,233765,147687.75,358869,-193916,71140.5,28192.75,184354.25,158501.5,241527.25,129206.25,160368,41971,44672.75,-317865.25,134151.75,349935,321166.5,84028,99257,91200.75,207634.5,258069.25,-11631.99609,334894.75,-51576.24609,-169486.25,-56435.24609,185819.25,111506.25,52893.75,9914.75,159814.75,-43344.24609,31154.25,-71391.5,344522.25,171103.5,88178.25,131686.75,148036,94382.5,-124334,-155903.5,71366.5,950564.25,215582.75,6165.25,121292.75,164008.75,-2259.746094,-209283,38867,166425,-125711.5,-715624.5,-719111.75,-333184.5,-274134
-11160.99609,-169829,-169583.75,391833,482272.25,101100,-281655,75405.25,410641.25,72302.5,233740.5,147735.5,358914.25,-193941.25,70855.25,28190.25,184308.25,158490.5,241586,129245.25,160353,41922.5,44649.75,-317933.75,134077.5,349928,321160,83968.75,99191,91207,207676,258066,-11425.49609,334823,-51586.99609,-169641,-56590.99609,185738,111487.25,52928,10306.25,159904.25,-43325.74609,31129,-71400.25,344513,171079.5,88197.25,131658,148007,94376.75,-124480.5,-156018.25,71348,950514.75,215572.75,6138.75,121243.5,164006,-2288.996094,-209238.75,38801.5,165982.5,-125713.5,-714809.75,-718304.5,-330785.25,-272106.75
-10845.49609,-169603.5,-169530.75,391882,482294.5,101012.75,-281488.5,75380.5,410669.25,72356.5,233825.25,147814.75,358917.5,-193985.75,71002,28278.25,184308.25,158522.25,241601,129294.5,160397,41934.5,44664,-317925.5,134021,349965,321203.75,83926.25,99184,91279.5,207743.75,258164.75,-11154.24609,335027.75,-51446.74609,-169446,-56516.49609,185861,111600.75,52953.25,10595.25,160026.25,-43009.74609,31122.25,-71328.75,344556,171107.75,88302.5,131748.5,148054,94462.75,-124315,-155956,71423.25,950553.5,215705.5,6177.75,121298.5,164054.25,-2291.246094,-209249,38896.25,166132.75,-125653.5,-714659.75,-717723.5,-331661,-272653.75
-10637.49609,-169620.75,-169655.5,391819.25,482279,101049,-281504,75184.5,410678.5,72347.25,233866,147738.75,358857.5,-194168.25,71094.75,28227.75,184220.75,158430.25,241568.5,129306.5,160336.5,41770.5,44540.75,-318031.75,133874,349781.75,320972,83853.25,99134,91190.25,207708.5,258150.25,-11184.99609,335030.5,-51237.49609,-169336.5,-56530.74609,185876.75,111678.25,53249.75,10948.25,160316.25,-42939.49609,31461.25,-71220.25,344686.75,171152.25,88313,131763.5,148119,94567,-124297.75,-156314.5,71410.75,950561.5,215734.75,6215.25,121313.25,164040.25,-2341.496094,-209013.5,38812.25,166386.25,-125673,-714186.75,-717523,-330886.75,-272357.5
-10626.24609,-169679.75,-169763,391852.75,482131.5,100916.25,-281484.75,75248,410631.75,72271.5,233759.5,147701.75,358916.5,-194108,71110,28198.75,184205.75,158411.25,241485.75,129234.25,160280,41746.5,44470,-318091.25,133718.75,349758,321004.5,84009.75,99219.75,91215,207724.5,258136,-11301.74609,334717.25,-51442.24609,-169456,-56543.74609,185866.75,111651.25,53249.75,10881.75,160115,-43130.24609,31417.5,-71267.25,344665.5,171166.75,88338,131741.25,148115,94530,-124186.75,-156434,71406.75,950618.75,215663.25,6228.5,121269.75,163938.25,-2410.246094,-209052,38727.5,166751.5,-125680.5,-713400.5,-716801.75,-331012.25,-272038.5
-10498.99609,-169589,-169609.25,391896.5,482188.5,100863.25,-281591.25,75378.75,410626.25,72284.5,233847.25,147805.75,358950,-194066,71167.75,28171.25,184251.25,158406,241519.75,129319,160342,41660.5,44474.75,-318097.5,133739.5,349784,321036.25,84090.25,99353.75,91290.75,207765,258222,-11239.24609,334515,-51599.74609,-169786.5,-56489.99609,185936.75,111725,53164.5,10572.25,159844.75,-42929.74609,31298.75,-71282,344712,171287.75,88382.75,131797.75,148138.5,94582.5,-124322,-156649,71315.25,950734.75,215755,6236.5,121269.5,163992,-2253.996094,-208431,38723.25,167313.75,-125644,-711781,-715069.75,-330862.25,-271711.75
-10524.99609,-169370.5,-169584.75,392053.75,482272.25,100895,-281398.25,75474.5,410746.75,72437.75,234020,147845.25,358935.5,-194043.75,71246.75,28249,184275,158455.5,241571.5,129244,160285.25,41664.25,44405.5,-318165.25,133707.75,349725.75,320993.75,84031,99261,91240.75,207761,258209,-11239.24609,334735,-51367.24609,-169783.75,-56380.24609,186082.25,111801,53113,10489,159915.75,-42816.49609,31273.25,-71261.5,344767,171420.25,88439.5,131831,148170.25,94682,-124725.75,-156797.25,71345,950798,215755,6243.5,121236.75,163797,-2600.496094,-208118.75,38435.5,167290.25,-125739.5,-709487.25,-712854,-330020.5,-271057.5
-10544.24609,-169242,-169382,392211.75,482415.75,101113.5,-281304.5,75440.75,410720.5,72523.25,234158.25,147940.75,359003,-193987.75,71237.25,28057.75,184241.25,158484,241593.5,129293.5,160271.5,41607.25,44335.5,-318226.5,133614.25,349786,321050.25,84061.75,99256.25,91297.25,207837,258269.75,-11131.74609,334975.5,-51042.74609,-169659.25,-56198.49609,186286,111988,53283.75,10674,160005.5,-42796.24609,31526.5,-71107.75,344930.75,171606.5,88545,131947,148228.25,94714,-125086,-156777.75,71391.5,950847.25,215800.25,6240.25,121249,163840,-2650.746094,-209160.5,38355,167127.75,-125694,-707259,-710249,-329232.25,-270543
-10640.49609,-169401.75,-169314.25,392307.75,482589,101349.5,-281175.5,75451.5,410732.5,72642.25,234286.5,147979,359111,-193958,71225,27974.25,184283.75,158531.25,241668.5,129362.25,160309.5,41532.5,44315.5,-318229,133558,349833.75,321009.5,84109,99311.25,91306.5,207859.25,258324.5,-11100.24609,334728,-51173.49609,-169546.25,-56155.99609,186311.5,111955.75,53234.75,10769.5,160038,-42916.74609,31493,-71155.5,344982.5,171620.75,88590.75,131940,148237,94597.75,-125343.5,-156471.25,71338.75,950756.75,215841,6300.25,121219,163817.5,-2688.996094,-209150,38416.25,166766,-125603.5,-706367.25,-709146.75,-328842.25,-270104.75
-10759.74609,-169461,-169219.5,392246,482523.25,101190.75,-281280.75,75543.25,410734.75,72580.25,234229.75,147910.75,359034.25,-193939.75,71126,27920.75,184182.25,158448.25,241580.25,129239.75,160179.5,41412.75,44168.5,-318318.25,133324.75,349594,320827,84028.75,99262.5,91227.25,207800,258307.75,-11201.99609,334899.5,-51186.74609,-169344.25,-56168.74609,186283,111993.75,53141.25,10799.25,159987.75,-43035.24609,31220,-71279.5,344877.25,171619.75,88539.25,131954,148067,94317.5,-125192,-156024,71271.75,950500.5,215784.5,6253,121126.25,163785.75,-2678.746094,-210001.75,38344,166134.25,-125655.5,-706077,-709488.25,-328413.5,-269465.75
-10717.74609,-169501,-169222.75,392435.25,482754.5,101402.5,-281252.25,75638.25,410948.75,72736.25,234347.5,148039.75,359157,-193754,71205,28072.75,184230.25,158471,241652,129251.25,160153.25,41374.5,44135,-318357.5,133163,349371.25,320607.75,83783.25,99028.5,91208.25,207869,258374.5,-11125.74609,335176,-51112.99609,-169143.75,-56121.99609,186446.25,112078.5,53239.5,10897.25,160070.25,-43147.74609,31149.25,-71209.25,344967.75,171717,88662.75,132027.5,148146.25,94297.5,-124620,-155972,71304.75,950387.5,215858,6246.25,121145,163794,-2748.996094,-209954.25,38171.75,165842.5,-125834.5,-705647.75,-708502.25,-327486.75,-268270
-10726.24609,-169641,-168977.25,392538.75,482769.75,101488.5,-281343,75497.25,410936.25,72769.25,234436.75,148075.25,359134.25,-193853.25,71107.5,27991.25,184205,158471.75,241738.75,129296.25,160217.75,41375.25,44124,-318407,133214.5,349518.5,320790.25,84077.75,99288.5,91253.25,207973,258453.25,-11202.74609,335088.5,-51213.99609,-169072.75,-55962.24609,186541.75,112176.5,53286.5,10886.5,159905.75,-43416.99609,30977.5,-71244.5,345077.5,171805.5,88693,132098,148149.75,94337.5,-124371.75,-156107.75,71315.75,950351.75,215894.75,6284.75,121208.5,163788.5,-2768.996094,-209982.25,38180,166106.5,-125643.5,-705878.5,-708978.75,-327223.25,-268024
-10638.49609,-169574,-168848.5,392631,482913.5,101550.5,-281295.75,75484.25,410988.5,72872.75,234542.25,148168,359134.25,-193928.5,70996.5,27878.5,184245.25,158518,241742.5,129211.5,160185.25,41272.75,44052.75,-318324.5,133114.75,349381.5,320631.5,83891.75,99112.5,91237.75,207899,258514.25,-11103.74609,335366.25,-51155.99609,-169187.75,-55806.24609,186641,112337.25,53483.75,11039.25,160186.5,-43195.74609,31346.75,-71000,345222.75,171960,88805.25,132235,148314.75,94477.25,-124327.75,-156201.5,71246.25,950374.5,215956.25,6203.5,121064.75,163601.75,-3023.746094,-209876.25,37740,166279.5,-126098,-705788.5,-708988.25,-326383.75,-267218
-10681.74609,-169632,-168646.75,392764,483097.5,101585,-281162,75714.25,411369.5,73011,234667,148275.25,359296.75,-193741,71160.25,27972.75,184354.25,158556,241854.25,129277.25,160239,41284.5,44027.25,-318411.75,133054,349405.25,320647,83491.75,98728.75,91274.5,207952.25,258580.75,-11079.74609,335551,-51057.24609,-169028.25,-55764.49609,186711.75,112372.25,53557,11039.75,160381.75,-43263.49609,31532.25,-70873,345229.25,172044.75,88917.75,132290.5,148381.5,94511.75,-123993,-156483.25,71283,950574.25,216010.25,6283.75,121068.75,163562,-3149.746094,-209536.25,37457,166706.75,-126377.5,-706672.25,-709823.75,-325368.25,-266337.5
-10826.49609,-169714.5,-168693,392680.25,483057.5,101691.25,-281262,75637.25,411334.75,73048.25,234642.5,148283.75,359307.75,-193703.5,71201.5,28003.75,184376,158521.75,241838.5,129242.25,160158,41232.75,43992.5,-318649.5,132834,349280.75,320529,83518,98751.75,91232,207935,258538,-11086.49609,335211.75,-51122.49609,-168756,-55817.99609,186679.25,112329.25,53428.5,10950.5,160392.25,-43151.74609,31310,-70995.5,345210,171961.5,88967.25,132265.75,148400.5,94425.75,-124003.25,-156509.25,71305,950697.25,216024.25,6229.25,121044,163479,-3255.746094,-208792.5,37430.25,167067,-126450.5,-706959.25,-710716.75,-324911,-266400
-10616.99609,-169456.5,-168629.5,392865,483238.75,101963.75,-280962.25,75802.75,411408.5,73204.5,234809.75,148407.5,359436.25,-193595.75,71581,28309.5,184454.25,158647,242004.75,129272.75,160227,41407,44151.25,-318433.75,132888.75,349204.5,320473.75,83668.25,98860.5,91273,208017,258689.5,-10893.74609,335318.75,-50891.74609,-168446.25,-55627.24609,186851.5,112521,53608.5,11081,160552.75,-42927.24609,31521.25,-70855.5,345357.25,172116.5,89011,132373.75,148498.5,94498.75,-124443.5,-156349.5,71229.5,950776,216108,6293.75,121052,163434,-3160.746094,-209176.75,37195.25,166950,-126637.5,-707434.75,-710865,-324788.75,-266246
-10386.74609,-169260.5,-168650,392915.75,483285,101926.25,-280968.25,75805.25,411405.5,73225.5,234856.25,148492.75,359476.5,-193664.5,71569.25,28286.75,184324.5,158721.25,242053.75,129270.75,160221.75,41399.5,44128.5,-318407.5,132770,349084.75,320313.75,83537.25,98725,91265.5,208057.5,258771,-10731.24609,335784,-50831.74609,-168391.75,-55522.74609,186864.25,112536.5,53738.5,11128,160548.75,-42926.74609,31670.5,-70706.5,345424.75,172158,89151.75,132507,148631.5,94648.75,-124789.5,-156314.75,71253,950992.5,216210,6392.5,121137.25,163530.75,-2953.746094,-209383.75,37343.75,166738.25,-126604,-710290.5,-713792.25,-326370.75,-267308
-10373.49609,-169372.5,-168760.75,392996.75,483386.75,102137,-280902.5,75737.25,411386.5,73291.5,234904.75,148586,359573.5,-193609.25,71431.5,28191.25,184360.25,158750.75,242124.75,129276.5,160236,41280.75,44037.75,-318490.75,132564.25,348816.75,320042.25,83228,98456,91244,208130.25,258800.75,-10691.24609,336148,-50765.49609,-168434.25,-55578.99609,186915.75,112536.5,53878.5,11201,160619,-42822.74609,31773.25,-70618.25,345506.5,172192.25,89170.5,132526.25,148672.25,94672.5,-124989.75,-156141.25,71364.25,951050.75,216235.25,6449,121160.75,163500.5,-3088.746094,-210266.5,37271.5,166178,-126741.5,-713471.75,-717132.25,-326970.75,-267798
